3-d;"etando mísátoabbreviation"
central processing unit (cpu);""
centralized network;""
centralized processing;""
certificate;"sɛtifiká"
certify;"koloba sɔ̂lɔ́, kondima sɔ̂lɔ́"
chairperson;""
change case (ms. office);""
change case;""
change desktop background;""
change language;""
change password;""
change profile;""
change session;""
change;"kobóngola chat group"
changes;""
changing;"kobóngola chapter"
channel (hardware);"lileko"
channel (television);"shɛ̂nɛ"
channel (tv);""
channel;""
chapter;""
char cell;""
character encoding;"akɔdaze ya minkomá"
character map;""
character palette;""
character set;"liséta lia monkomá"
character spacing;"sipasi ya minkomá"
character style;"stílɛ ya monkomácheckmark / check mark"
character;"monkomá"
charcoal sketch;""
charset;""
chart area;""
chart;"gálafiki"
chat group;""
chat room;"esíká ya kotsátɛ"
chat;"tsátɛ"
check bit;""
check box;""
check for junk;""
check for updates;""
check for;"kotála mpɔ̂ ya"
check now;"kotála sikáwa"
check spelling;"kotála likomisi"
check;"kotála, kondima"
checkbox;"bokisi íyo"
checked;"epɔ́námíchecking"
checkerboard;""
checking for new mail;""
checking;""
checkmark / check mark;""
checksum;""
cheese;""
child process;""
child;"mwana"
chime;"kariyo"
chinese;""
chip;"bɔngɔ́"
chipset;""
choice;"bopɔni"
choose;"kopɔnɔ"
choosing;"kopɔnɔ"
chosen;"epɔnámí"
chroma;""
chrome;""
cipher;"shífrɛ, motángo"
circle;"zeló, zólóngánó"
circular reference;""
circular;"zólóngána"
city;"mbóka"
class;"klasí"
classic;"klasíki"
classification;"klasifikaso"
classify;""
clean up by name;""
clean up by names;""
clean;""
clear highlight;""
clear history;""
clear private data;""
clear;"kozímisa"
cleared;"ezímísámí"
click (noun);""
click (verb);""
click and drag;"sɛlumuisa mpé klíkɛ"
click in;"koklikɛ na káti"
click on, click;""
click outside;"koklikɛ libanda"
click to open;"koklikɛ mpɔ̂ na kofungola"
click-and-hold;""
click;"koklikɛ"
client side;""
client;"kiliyá"
climate;""
clip art;"kliparɛ"
clip board;""
clipboard;"zaú"
clock;"sâ"
clockwise;"botámboli lia likongá"
clone;"klonɛ"
close all folders;""
close all;""
close parent folders;""
close tab;""
close the current file;""
close the current window;""
close window;""
close;"kokanga"
closed;"ekangámí"
closing;"kokanga"
code (program);""
code (symbol);""
code segment;""
code;"kɔde"
codec;"kɔdɛk"
coding;"kokɔdɛ"
coefficient;""
collaboration;""
collapse all threads;""
collapse;"kobúkoa"
collate;"kobánza"
collect;"kotákola"
collection;"litákoli, kolɛkiso"
collision;""
colon;"pútu íbalé"
color depth;""
color palette;"liséta lia lángi"
color picker;"enúkele lia lángi"
color resolution;"langibini lia lángi"
color scheme;"bosangisi lia lángi"
color selection;"bopɔni bwa lángi"
color selector button;""
color tolerance;""
color/grayscale;""
color;"lángi"
colored;"ya lángi, lángi  etíyámí"
column & row headers;""
column break;"lipimboa lia likonzí"
column header;""
column heading;"likoló lia likonzícombine"
column span;"likonzí ya kosanginia"
column;"likonzí"
columnar;""
com port;""
combination;""
combine;""
combo box (combination box);""
combo box;""
comma;"kóma"
command button;""
command line options;""
command line;"ekomiselo bitámboseli"
command;"etámboseli"
comment;"komátɛlɛ"
comments;""
common name;""
common properties;""
common;"loléngé lɔ̌kɔ́, ya kozóngaka, ya kosálemaka"
commonly used;"ya bosáleli mbala míngi"
communicate;"koyébisa"
communicating;"Koyébisa"
communication;"kominikaso"
compact view;""
compact;"koyéisa mokɛ́"
company;"kompani"
compare documents;""
compare;"koúlinia"
compatibility;"libémbani"
compatible;"bémbání, ya kobémbana"
compilation;""
compile;"kokompílɛ"
compiled;"ya kokompílɛ"
compiler;""
complementary close;""
complete;"kokoma"
completed tasks;""
completed;"ya kosila"
complex text layout;""
component;"enama"
compose new message;""
compose;"kokéla, kotíya elɔngɔ́"
composed;"ya kotíya elɔngɔ́"
composer;""
composition;""
